area_sqft,bedrooms,price_usd
2797,5,545373
1661,1,237541
1318,3,777682
2655,3,620926
2369,3,756145
1370,3,790610
3075,5,761967
2590,1,712670
2632,4,367269
3448,2,496121
1024,2,578251
2145,1,161352
2078,4,793889
3005,2,668674
2185,1,590559
2391,5,784678
1929,5,537140
1810,3,298148
2742,1,570510
1453,3,645480
2190,1,578067
2439,1,591987
3075,5,310373
2381,5,367915
1514,2,512242
996,4,489693
1083,4,391081
1784,4,299012
3077,1,486442
2041,1,642922
2459,5,184329
1799,4,432832
2375,1,459469
1332,1,792053
1569,3,517766
1806,4,406502
1522,1,315466
1227,2,498666
1445,2,357114
2733,4,508447
2868,2,590211
1260,2,199947
2734,5,380725
2436,5,237828
1147,2,591598
2857,3,205809
821,3,342892
2797,3,671093
1849,5,428132
2270,2,221405
1301,3,794349
2014,5,285693
1644,5,789846
1553,1,672670
1599,3,158021
2375,4,574984
1210,1,224362
2379,2,353245
2214,5,445281
1890,3,357996
898,1,275804
1730,1,672519
3021,2,157299
3438,2,565771
953,2,566092
1366,5,484515
1961,2,388828
3331,5,649359
1358,4,672822
1627,1,648693
1298,2,726864
2970,1,413122
3196,2,499510
1643,2,739838
2474,5,507305
1832,3,663769
2198,1,522823
1577,3,759426
1375,3,429959
2521,3,682496
1013,5,796411
3083,4,470014
3085,1,607476
3102,2,658684
1629,1,663129
3010,2,720582
1486,3,597674
2149,3,597946
3159,1,322773
1938,2,336844
3378,2,181270
2378,2,322185
2261,5,488931
1605,3,280256
2335,3,489361
2343,1,295191
3285,3,274346
3478,3,549838
2091,2,476151
917,5,797415
