area_sqft,bedrooms,price_usd
1660,5,259751
2094,2,531050
1930,2,611079
1895,1,518452
2438,4,256081
2969,1,763333
1266,4,708986
2038,2,260078
1130,1,172671
2282,5,568400
2935,3,505528
930,4,760490
2485,3,201663
1569,3,165708
3191,1,461955
2315,3,283883
3233,5,468394
2015,3,262547
1755,1,709042
3124,5,292483
1984,2,364835
1259,3,551896
821,1,234896
3100,2,627095
1547,2,221295
1274,4,423255
1882,5,449648
3358,3,158155
2847,1,616872
1775,4,524705
2606,5,721542
989,4,760269
1362,5,704594
2699,5,297718
2067,3,458987
2328,5,795263
1446,4,508745
2868,5,257512
3014,3,297443
2097,3,620587
3235,4,523616
1400,2,515871
3163,2,525037
2861,5,267796
1041,1,441999
2841,5,342506
3412,4,419544
2163,4,530002
2939,4,689439
2190,4,740978
2278,4,678787
3356,3,680583
1575,2,538215
834,4,471184
3053,1,572515
2755,1,528480
2385,1,182711
1821,1,651157
3413,3,334423
1929,1,666349
2300,4,283272
1502,5,793409
3249,1,227505
2379,3,152869
961,3,604351
1001,1,462252
2781,5,786584
1795,1,768467
3117,3,240272
1615,2,188467
1255,4,630047
2075,3,208871
1816,1,278391
3143,4,589430
1137,1,760704
1678,1,406687
1876,2,257450
1591,4,321890
3064,4,588741
1563,2,431974
3035,3,550109
1179,1,266381
1292,5,623125
1980,1,721621
2862,1,284508
864,3,549111
3368,1,300810
2167,2,442890
1952,2,723665
2827,4,510032
3495,5,519599
2295,1,321836
1962,1,195714
2322,3,777234
3440,2,780271
1191,5,616960
2498,4,274123
1218,2,455628
3136,4,232989
1178,3,448356
